region,no_education,elementary_school,high_school,college_or_higher,dont_know_missing,total,number,median_years
MetroManila,4.2,26.0,38.6,30.8,0.4,"100,0",3732,10.2
CordilleraAdmin,6.4,44.1,29.5,19.9,02,100.0,479,69
Tlocos,7.0,45.9,33.3,13.5,02,100.0,1631,6.8
CagayanValley,6.4,$3.1,28.7,10.7,Ll,100.0,1060,6.5
C-Luzon,46,48.1,33.7,13.2,0.4,100.0,2799,69
S-Tagalog,6.4,47.7,31.8,13.8,0.3,100.0,3612,6.8
Bicol,9.3,55.4,25.0,9.6,07,100.0,1729,63
W-Visayas,8.1,50.7,25.9,15.3,00,100.0,2463,6.4
C-Visayas,8.8,53.2,228,14.1,12,100.0,2142,6.1
E-Visayas,8.5,57.6,22.2,11.5,0.2,100.0,1366,6.0
W-Mindanao,12.2,54.3,20.0,11.3,21,100.0,1467,5.5
N-Mindanao,13,56.1,25.0,10.8,0.8,100.0,1581,6.2
S-Mindanao,11.8,52.5,24.1,ILS,0.0,100.0,2018,6.1
C-Mindanao,15.6,48.1,25.4,10.5,0.4,100.0,1447,6.0
Total,78,47.7,28.8,15.2,05,100.0,27525,6.6
